Protein,+s,-s,Q60
CHEMBL6184,93,145,6.37
CHEMBL2288,168,252,5.52
CHEMBL4722,1128,1716,7.35
CHEMBL3983,443,713,8.15
CHEMBL6166,91,136,6.35
CHEMBL3629,260,391,6.9
CHEMBL3714029,116,182,6.55
CHEMBL5620,114,170,6.98
CHEMBL2431,349,539,7.28
CHEMBL3975,233,352,6.46
CHEMBL1787,159,243,7.52
CHEMBL1856,160,241,8.0
CHEMBL4102,278,427,6.0
CHEMBL260,1700,2586,7.33
CHEMBL4026,280,436,5.49
CHEMBL3024,439,664,6.77
CHEMBL3105,1310,2048,7.52
CHEMBL275,649,979,7.33
CHEMBL4296,2308,3495,6.66
CHEMBL4068,196,296,7.24
CHEMBL3587,316,479,7.28
CHEMBL4016,99,148,5.55
CHEMBL2439,121,182,6.71
CHEMBL3243,93,142,5.5
CHEMBL301,680,1036,6.92
CHEMBL2508,145,242,7.8
CHEMBL331,417,626,7.75
CHEMBL3254,108,164,7.3
CHEMBL1867,353,529,7.0
CHEMBL1942,209,313,6.48
CHEMBL6152,128,193,6.71
CHEMBL5485,124,190,7.16
CHEMBL1801,380,575,5.83
CHEMBL209,538,807,7.32
CHEMBL2617,89,134,7.32
CHEMBL276,292,440,6.96
CHEMBL216,631,953,6.92
CHEMBL2035,293,441,6.33
CHEMBL1821,339,511,6.68
CHEMBL245,717,1080,8.1
CHEMBL320,84,126,7.26
CHEMBL211,662,992,7.24
CHEMBL3774295,83,197,7.0
CHEMBL4860,749,1124,8.07
CHEMBL3920,350,537,7.89
CHEMBL3769,291,444,6.58
CHEMBL6136,490,738,6.58
CHEMBL2966,95,142,6.04
CHEMBL252,543,823,7.75
CHEMBL4566,332,498,7.46
CHEMBL238,1106,1661,6.86
CHEMBL2782,146,225,5.96
CHEMBL312,523,795,6.04
CHEMBL2622,360,540,5.68
CHEMBL2179,189,287,5.82
CHEMBL3979,437,655,6.94
CHEMBL235,1254,1898,6.59
CHEMBL239,714,1073,6.26
CHEMBL333,1362,2065,7.31
CHEMBL3864,208,315,5.5
CHEMBL2635,122,185,5.22
CHEMBL4804,215,326,5.29
CHEMBL2424,80,119,5.4
CHEMBL332,1009,1517,6.57
CHEMBL3869,267,404,6.44
CHEMBL3706,623,953,7.7
CHEMBL2916,248,380,5.55
CHEMBL1978,840,1261,6.61
CHEMBL1250348,113,173,5.79
CHEMBL4878,130,199,7.5
CHEMBL4461,100,155,5.68
CHEMBL5160,105,158,5.87
CHEMBL4600,127,194,6.66
CHEMBL3959,138,211,6.22
CHEMBL1075094,94,150,5.92
CHEMBL1741189,561,870,5.83
CHEMBL206,1263,1906,7.22
CHEMBL3145,829,1253,6.72
CHEMBL284,1606,2454,7.54
CHEMBL1615381,93,139,7.38
CHEMBL2973,784,1187,7.64
CHEMBL3231,470,707,7.15
CHEMBL5888,302,454,8.05
CHEMBL5508,440,673,5.68
CHEMBL4224,216,325,6.51
CHEMBL1293266,81,122,6.06
CHEMBL1825,200,300,6.5
CHEMBL1275212,88,134,6.23
CHEMBL280,1034,1551,7.95
CHEMBL3714531,143,215,6.72
CHEMBL3192,772,1162,6.26
CHEMBL1865,1428,2177,7.24
CHEMBL246,173,268,7.09
CHEMBL234,1846,2812,7.82
CHEMBL256,1637,2457,7.23
CHEMBL2163183,94,140,5.26
CHEMBL3142,377,570,6.44
CHEMBL6120,161,244,6.91
CHEMBL3880,533,820,6.89
CHEMBL2722,550,834,7.66
CHEMBL1908,384,589,6.85
CHEMBL4074,226,338,7.47
CHEMBL4158,388,582,7.1
CHEMBL248,944,1419,7.75
CHEMBL2599,1330,1996,7.5
CHEMBL1929,118,179,5.96
CHEMBL3649,422,634,7.31
CHEMBL3081,125,187,5.69
CHEMBL5393,440,671,6.27
CHEMBL2903,138,206,6.08
CHEMBL1900,312,467,6.64
CHEMBL6164,308,462,7.39
CHEMBL2073,80,121,7.07
CHEMBL4662,351,530,7.11
CHEMBL6154,273,413,7.6
CHEMBL1974,1061,1609,7.37
CHEMBL2803,110,167,6.35
CHEMBL1873,141,215,5.44
CHEMBL1806,120,184,5.0
CHEMBL3308,264,407,5.46
CHEMBL2072,101,155,5.82
CHEMBL3004,176,263,5.78
CHEMBL1981,296,457,6.46
CHEMBL5145,1628,2450,7.6
CHEMBL2147,1602,2435,8.52
CHEMBL4550,861,1297,7.72
CHEMBL4657,406,623,5.47
CHEMBL4793,272,408,5.63
CHEMBL3976,423,641,5.35
CHEMBL2492,345,524,6.5
CHEMBL4980,529,795,6.98
CHEMBL2820,399,609,7.55
CHEMBL3474,137,205,6.37
CHEMBL311,190,290,7.51
CHEMBL241,136,205,6.26
CHEMBL3478,89,134,7.41
CHEMBL1827,759,1153,7.7
CHEMBL330,223,336,6.52
CHEMBL5658,592,888,7.5
CHEMBL4321,187,286,6.96
CHEMBL1741186,1201,1821,7.05
CHEMBL4073,193,294,6.07
CHEMBL4588,480,738,7.52
CHEMBL5847,101,152,5.15
CHEMBL4681,250,381,6.58
CHEMBL279,3296,4974,7.14
CHEMBL1913,512,789,7.05
CHEMBL3227,385,586,7.25
CHEMBL3815,222,336,7.66
CHEMBL3012,253,384,7.26
CHEMBL288,417,625,6.75
CHEMBL3160,182,279,7.0
CHEMBL1075051,84,134,6.0
CHEMBL5939,86,133,5.31
CHEMBL257,207,311,7.62
CHEMBL263,171,259,7.57
CHEMBL2069,231,346,7.32
CHEMBL3374,111,166,6.91
CHEMBL227,322,482,8.22
CHEMBL3948,326,489,8.58
CHEMBL1808,211,318,7.3
CHEMBL1907,176,264,5.82
CHEMBL2590,300,460,5.92
CHEMBL1868,352,532,6.84
CHEMBL4578,344,525,8.34
CHEMBL236,1609,2428,7.38
CHEMBL237,1550,2331,7.45
CHEMBL233,1889,2868,7.58
CHEMBL2014,609,938,7.92
CHEMBL2971,2252,3434,7.62
CHEMBL3202,192,288,6.52
CHEMBL2061,218,326,6.75
CHEMBL5017,107,160,7.85
CHEMBL3884,550,831,7.96
CHEMBL4145,98,146,6.3
CHEMBL2716,120,182,6.05
CHEMBL3524,306,459,6.46
CHEMBL3310,134,207,6.52
CHEMBL2563,103,154,6.11
CHEMBL5103,141,219,6.9
CHEMBL1937,699,1056,6.73
CHEMBL1829,691,1051,6.89
CHEMBL4282,1218,1830,7.18
CHEMBL1941,201,301,5.81
CHEMBL223,482,729,7.52
CHEMBL2474,87,130,5.33
CHEMBL3784,114,171,5.92
CHEMBL3572,515,773,6.73
CHEMBL2334,455,693,7.05
CHEMBL2871,449,673,6.49
CHEMBL298,579,877,7.28
CHEMBL2304404,83,128,6.66
CHEMBL3130,1274,1933,7.54
CHEMBL4975,242,368,7.39
CHEMBL2056,482,725,6.91
CHEMBL2789,258,386,6.52
CHEMBL2336,83,133,7.7
CHEMBL308,407,611,6.7
CHEMBL3055,96,143,6.47
CHEMBL2581,596,908,6.21
CHEMBL217,2749,4132,6.96
CHEMBL4471,216,328,6.52
CHEMBL2414,134,202,6.25
CHEMBL5645,181,278,8.3
CHEMBL1862,884,1326,7.91
CHEMBL1901,164,272,7.6
CHEMBL4140,89,202,7.3
CHEMBL2085,111,168,5.44
CHEMBL3710,258,387,7.69
CHEMBL1881,158,236,5.98
CHEMBL1836,222,334,7.43
CHEMBL5471,98,151,7.3
CHEMBL5414,91,150,6.7
CHEMBL2335,153,233,7.8
CHEMBL3602,369,568,7.52
CHEMBL3991,190,288,6.8
